Game,Date,Team,Opponent,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
42,2022-01-21,GSW,HOU,38:56:00,6,21,0.286,4,13,0.308,6,8,0.75,0,4,4,12,1,1,2,3,22
43,2022-01-23,GSW,UTA,35:02:00,5,20,0.25,1,13,0.077,2,2,1,2,2,4,6,0,0,1,0,13
44,2022-01-25,GSW,DAL,28:58:00,7,16,0.438,2,10,0.2,2,3,0.667,2,7,9,7,1,0,4,3,18
45,2022-01-27,GSW,MIN,38:21:00,10,20,0.5,6,10,0.6,3,3,1,0,8,8,6,3,0,4,1,29
46,2022-01-29,GSW,BRK,35:31:00,5,18,0.278,3,10,0.3,6,6,1,2,5,7,8,3,0,5,5,19
47,2022-01-31,GSW,HOU,37:57:00,13,23,0.565,7,14,0.5,7,8,0.875,0,5,5,9,1,1,1,0,40
,2022-02-01,GSW,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,2022-02-03,GSW,SAC,31:40:00,7,11,0.636,4,7,0.571,2,2,1,0,1,1,7,2,0,4,4,20
49,2022-02-07,GSW,OKC,36:34:00,6,12,0.5,4,10,0.4,2,2,1,0,9,9,10,1,0,4,2,18
50,2022-02-09,GSW,UTA,29:39:00,5,13,0.385,3,8,0.375,3,4,0.75,1,6,7,2,0,0,4,2,16
51,2022-02-10,GSW,NYK,39:08:00,11,25,0.44,5,16,0.313,8,8,1,0,2,2,10,1,0,3,5,35
52,2022-02-12,GSW,LAL,36:36:00,7,17,0.412,1,8,0.125,9,9,1,0,5,5,8,1,0,2,3,24
53,2022-02-14,GSW,LAC,33:49:00,11,18,0.611,8,13,0.615,3,3,1,0,2,2,2,0,0,4,2,33
54,2022-02-16,GSW,DEN,39:06:00,10,19,0.526,1,7,0.143,4,4,1,0,3,3,6,0,0,2,2,25
55,2022-02-24,GSW,POR,27:27:00,5,11,0.455,2,7,0.286,6,6,1,0,5,5,14,1,1,3,3,18
56,2022-02-27,GSW,DAL,38:04:00,11,25,0.44,3,10,0.3,2,4,0.5,1,3,4,10,2,0,1,0,27
57,2022-03-01,GSW,MIN,33:13:00,10,24,0.417,5,16,0.313,9,9,1,1,4,5,4,0,0,4,1,34
58,2022-03-03,GSW,DAL,40:26:00,8,15,0.533,4,5,0.8,1,1,1,0,5,5,9,1,0,3,3,21
59,2022-03-05,GSW,LAL,35:41:00,13,22,0.591,4,9,0.444,0,0,,0,4,4,1,0,0,4,0,30
,2022-03-07,GSW,DEN,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,2022-03-08,GSW,LAC,35:03:00,5,12,0.417,1,6,0.167,4,4,1,0,5,5,5,3,0,4,4,15
61,2022-03-10,GSW,DEN,37:58:00,11,21,0.524,5,12,0.417,7,7,1,0,9,9,3,2,0,2,1,34
62,2022-03-12,GSW,MIL,33:09:00,3,7,0.429,2,4,0.5,0,0,,1,4,5,8,1,1,4,1,8
63,2022-03-14,GSW,WAS,35:26:00,16,25,0.64,7,14,0.5,8,8,1,0,6,6,6,1,0,2,1,47
64,2022-03-16,GSW,BOS,13:40,1,4,0.25,1,4,0.25,0,0,,0,1,1,2,0,0,4,2,3
,2022-03-20,GSW,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-03-22,GSW,ORL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-03-23,GSW,MIA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-03-25,GSW,ATL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-03-27,GSW,WAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-03-28,GSW,MEM,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-03-30,GSW,PHO,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-04-02,GSW,UTA,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-04-03,GSW,SAC,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-04-07,GSW,LAL,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-04-09,GSW,SAS,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,2022-04-10,GSW,NOP,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
